concept_id,reader_language,inject_layer,read_layer,strength,probe_accuracy,baseline_rate,same_language_rate,other_language_rate,mean_random_rate,same_language_lift,transfer_lift,transfer_ratio,n_random,n_prompts
shura_001,ar,9,10,0.05,0.6875,0.75,1.0,0.916667,0.75,0.25,0.166667,0.666667,3,12
majlis_001,en,21,22,0.2,0.5,0.166667,1.0,1.0,0.333333,0.666667,0.666667,1.0,3,12
majlis_001,en,21,22,0.1,0.5,0.166667,1.0,0.916667,0.25,0.75,0.666667,0.888889,3,12
majlis_001,en,21,22,0.05,0.5,0.166667,0.916667,0.666667,0.194444,0.722222,0.472222,0.653846,3,12
majlis_001,en,21,22,0.02,0.5,0.166667,0.666667,0.333333,0.166667,0.5,0.166667,0.333333,3,12
majlis_001,ar,21,22,0.1,0.5,0.583333,1.0,1.0,0.583333,0.416667,0.416667,1.0,3,12
majlis_001,ar,21,22,0.2,0.5,0.583333,1.0,1.0,0.583333,0.416667,0.416667,1.0,3,12
majlis_001,ar,21,22,0.05,0.5,0.583333,1.0,0.833333,0.583333,0.416667,0.25,0.6,3,12
majlis_001,ar,21,22,0.02,0.5,0.583333,0.75,0.666667,0.583333,0.166667,0.083333,0.5,3,12
fazaa_001,en,7,8,0.1,1.0,0.166667,0.833333,0.833333,0.527778,0.305556,0.305556,1.0,3,12
fazaa_001,en,7,8,0.2,1.0,0.166667,1.0,0.916667,0.722222,0.277778,0.194444,0.7,3,12
fazaa_001,en,7,8,0.05,1.0,0.166667,0.5,0.333333,0.361111,0.138889,-0.027778,-0.2,3,12
fazaa_001,en,7,8,0.02,1.0,0.166667,0.333333,0.25,0.277778,0.055556,-0.027778,-0.5,3,12
fazaa_001,ar,7,8,0.2,1.0,0.25,0.916667,0.833333,0.444444,0.472222,0.388889,0.823529,3,12
fazaa_001,ar,7,8,0.1,1.0,0.25,0.666667,0.5,0.416667,0.25,0.083333,0.333333,3,12
fazaa_001,ar,7,8,0.02,1.0,0.25,0.25,0.25,0.277778,-0.027778,-0.027778,0.0,3,12
fazaa_001,ar,7,8,0.05,1.0,0.25,0.416667,0.25,0.333333,0.083333,-0.083333,-1.0,3,12
hayaa_001,en,3,4,0.05,1.0,0.083333,0.25,0.25,0.111111,0.138889,0.138889,1.0,3,12
hayaa_001,en,3,4,0.2,1.0,0.083333,0.916667,0.583333,0.027778,0.888889,0.555556,0.625,3,12
hayaa_001,en,3,4,0.1,1.0,0.083333,0.5,0.333333,0.111111,0.388889,0.222222,0.571429,3,12
hayaa_001,en,3,4,0.02,1.0,0.083333,0.25,0.083333,0.083333,0.166667,0.0,0.0,3,12
hayaa_001,ar,3,4,0.02,0.6875,0.5,0.75,0.75,0.555556,0.194444,0.194444,1.0,3,12
hayaa_001,ar,3,4,0.2,0.6875,0.5,1.0,0.75,0.527778,0.472222,0.222222,0.470588,3,12
hayaa_001,ar,3,4,0.05,0.6875,0.5,0.833333,0.75,0.694444,0.138889,0.055556,0.4,3,12
hayaa_001,ar,3,4,0.1,0.6875,0.5,0.833333,0.666667,0.611111,0.222222,0.055556,0.25,3,12
