concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
diyafa_001,15,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.0199,200,0.6,20
diyafa_001,16,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
diyafa_001,17,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.0199,200,0.6,20
diyafa_001,18,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.014925,200,0.6,20
diyafa_001,19,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.00995,200,0.6,20
diyafa_001,20,balanced_accuracy,0.75,0.223607,0.5,0.25,0.069652,200,0.6,20
diyafa_001,21,balanced_accuracy,0.783333,0.194365,0.5,0.283333,0.024876,200,0.6,20
diyafa_001,22,balanced_accuracy,0.783333,0.194365,0.5,0.283333,0.029851,200,0.6,20
diyafa_001,23,balanced_accuracy,0.8,0.187083,0.5,0.3,0.0199,200,0.6,20
karam_001,0,balanced_accuracy,0.75,0.223607,0.5,0.25,0.049751,200,0.6,20
karam_001,1,balanced_accuracy,0.7,0.291548,0.5,0.2,0.079602,200,0.6,20
karam_001,2,balanced_accuracy,0.65,0.254951,0.5,0.15,0.139303,200,0.6,20
karam_001,3,balanced_accuracy,0.65,0.254951,0.5,0.15,0.129353,200,0.6,20
karam_001,4,balanced_accuracy,0.7,0.291548,0.5,0.2,0.034826,200,0.6,20
karam_001,5,balanced_accuracy,0.55,0.331662,0.5,0.05,0.368159,200,0.6,20
karam_001,6,balanced_accuracy,0.75,0.316228,0.5,0.25,0.0199,200,0.6,20
karam_001,7,balanced_accuracy,0.65,0.3,0.5,0.15,0.164179,200,0.6,20
karam_001,8,balanced_accuracy,0.65,0.3,0.5,0.15,0.189055,200,0.6,20
karam_001,9,balanced_accuracy,0.65,0.3,0.5,0.15,0.164179,200,0.6,20
karam_001,10,balanced_accuracy,0.8,0.291548,0.5,0.3,0.029851,200,0.6,20
karam_001,11,balanced_accuracy,0.75,0.316228,0.5,0.25,0.034826,200,0.6,20
karam_001,12,balanced_accuracy,0.7,0.367423,0.5,0.2,0.089552,200,0.6,20
karam_001,13,balanced_accuracy,0.65,0.374166,0.5,0.15,0.149254,200,0.6,20
karam_001,14,balanced_accuracy,0.6,0.374166,0.5,0.1,0.228856,200,0.6,20
karam_001,15,balanced_accuracy,0.65,0.3,0.5,0.15,0.149254,200,0.6,20
karam_001,16,balanced_accuracy,0.75,0.316228,0.5,0.25,0.049751,200,0.6,20
karam_001,17,balanced_accuracy,0.7,0.244949,0.5,0.2,0.064677,200,0.6,20
karam_001,18,balanced_accuracy,0.7,0.244949,0.5,0.2,0.064677,200,0.6,20
karam_001,19,balanced_accuracy,0.75,0.316228,0.5,0.25,0.054726,200,0.6,20
karam_001,20,balanced_accuracy,0.55,0.244949,0.5,0.05,0.358209,200,0.6,20
karam_001,21,balanced_accuracy,0.65,0.3,0.5,0.15,0.144279,200,0.6,20
karam_001,22,balanced_accuracy,0.65,0.3,0.5,0.15,0.149254,200,0.6,20
karam_001,23,balanced_accuracy,0.6,0.374166,0.5,0.1,0.233831,200,0.6,20
sharaf_001,0,balanced_accuracy,0.616667,0.145297,0.5,0.116667,0.258706,200,0.6,20
sharaf_001,1,balanced_accuracy,0.7,0.187083,0.5,0.2,0.079602,200,0.6,20
sharaf_001,2,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,3,balanced_accuracy,0.75,0.223607,0.5,0.25,0.049751,200,0.6,20
sharaf_001,4,balanced_accuracy,0.85,0.2,0.5,0.35,0.00995,200,0.6,20
sharaf_001,5,balanced_accuracy,0.85,0.2,0.5,0.35,0.00995,200,0.6,20
sharaf_001,6,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,7,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,8,balanced_accuracy,0.85,0.2,0.5,0.35,0.014925,200,0.6,20
sharaf_001,9,balanced_accuracy,0.85,0.2,0.5,0.35,0.00995,200,0.6,20
sharaf_001,10,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,11,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,12,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,13,balanced_accuracy,0.85,0.122474,0.5,0.35,0.014925,200,0.6,20
sharaf_001,14,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sharaf_001,15,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sharaf_001,16,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sharaf_001,17,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,18,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,19,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sharaf_001,20,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sharaf_001,21,balanced_accuracy,0.85,0.122474,0.5,0.35,0.00995,200,0.6,20
sharaf_001,22,balanced_accuracy,0.85,0.122474,0.5,0.35,0.00995,200,0.6,20
sharaf_001,23,balanced_accuracy,0.85,0.122474,0.5,0.35,0.00995,200,0.6,20
sabr_001,0,balanced_accuracy,0.766667,0.161589,0.5,0.266667,0.034826,200,0.6,20
sabr_001,1,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.18408,200,0.6,20
sabr_001,2,balanced_accuracy,0.583333,0.190029,0.5,0.083333,0.303483,200,0.6,20
sabr_001,3,balanced_accuracy,0.766667,0.161589,0.5,0.266667,0.034826,200,0.6,20
sabr_001,4,balanced_accuracy,0.766667,0.161589,0.5,0.266667,0.024876,200,0.6,20
sabr_001,5,balanced_accuracy,0.9,0.122474,0.5,0.4,0.004975,200,0.6,20
sabr_001,6,balanced_accuracy,0.8,0.187083,0.5,0.3,0.0199,200,0.6,20
sabr_001,7,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,8,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,9,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,10,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,11,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,12,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,13,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,14,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,15,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,16,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,17,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,18,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,19,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,20,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
sabr_001,21,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,22,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
sabr_001,23,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
silat_rahim_001,0,balanced_accuracy,0.5,0.190029,0.5,0.0,0.497512,200,0.6,20
silat_rahim_001,1,balanced_accuracy,0.45,0.145297,0.5,-0.05,0.656716,200,0.6,20
silat_rahim_001,2,balanced_accuracy,0.483333,0.185592,0.5,-0.016667,0.507463,200,0.6,20
silat_rahim_001,3,balanced_accuracy,0.516667,0.133333,0.5,0.016667,0.462687,200,0.6,20
silat_rahim_001,4,balanced_accuracy,0.55,0.145297,0.5,0.05,0.38806,200,0.6,20
silat_rahim_001,5,balanced_accuracy,0.683333,0.185592,0.5,0.183333,0.114428,200,0.6,20
silat_rahim_001,6,balanced_accuracy,0.783333,0.194365,0.5,0.283333,0.029851,200,0.6,20
silat_rahim_001,7,balanced_accuracy,0.633333,0.194365,0.5,0.133333,0.174129,200,0.6,20
silat_rahim_001,8,balanced_accuracy,0.6,0.226078,0.5,0.1,0.218905,200,0.6,20
silat_rahim_001,9,balanced_accuracy,0.633333,0.194365,0.5,0.133333,0.154229,200,0.6,20
silat_rahim_001,10,balanced_accuracy,0.6,0.2,0.5,0.1,0.233831,200,0.6,20
silat_rahim_001,11,balanced_accuracy,0.516667,0.133333,0.5,0.016667,0.422886,200,0.6,20
silat_rahim_001,12,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.19403,200,0.6,20
silat_rahim_001,13,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.19403,200,0.6,20
silat_rahim_001,14,balanced_accuracy,0.65,0.2,0.5,0.15,0.139303,200,0.6,20
silat_rahim_001,15,balanced_accuracy,0.5,0.0,0.5,0.0,0.477612,200,0.6,20
silat_rahim_001,16,balanced_accuracy,0.516667,0.133333,0.5,0.016667,0.457711,200,0.6,20
silat_rahim_001,17,balanced_accuracy,0.516667,0.133333,0.5,0.016667,0.452736,200,0.6,20
silat_rahim_001,18,balanced_accuracy,0.533333,0.171594,0.5,0.033333,0.422886,200,0.6,20
silat_rahim_001,19,balanced_accuracy,0.583333,0.105409,0.5,0.083333,0.223881,200,0.6,20
silat_rahim_001,20,balanced_accuracy,0.583333,0.288675,0.5,0.083333,0.288557,200,0.6,20
silat_rahim_001,21,balanced_accuracy,0.616667,0.266667,0.5,0.116667,0.174129,200,0.6,20
silat_rahim_001,22,balanced_accuracy,0.6,0.254951,0.5,0.1,0.208955,200,0.6,20
silat_rahim_001,23,balanced_accuracy,0.583333,0.223607,0.5,0.083333,0.253731,200,0.6,20
jiwar_001,0,balanced_accuracy,0.6,0.339116,0.5,0.1,0.268657,200,0.6,20
jiwar_001,1,balanced_accuracy,0.6,0.339116,0.5,0.1,0.268657,200,0.6,20
jiwar_001,2,balanced_accuracy,0.516667,0.343188,0.5,0.016667,0.442786,200,0.6,20
jiwar_001,3,balanced_accuracy,0.666667,0.229734,0.5,0.166667,0.114428,200,0.6,20
jiwar_001,4,balanced_accuracy,0.65,0.2,0.5,0.15,0.129353,200,0.6,20
jiwar_001,5,balanced_accuracy,0.6,0.254951,0.5,0.1,0.21393,200,0.6,20
jiwar_001,6,balanced_accuracy,0.65,0.2,0.5,0.15,0.129353,200,0.6,20
jiwar_001,7,balanced_accuracy,0.6,0.254951,0.5,0.1,0.243781,200,0.6,20
jiwar_001,8,balanced_accuracy,0.75,0.223607,0.5,0.25,0.039801,200,0.6,20
jiwar_001,9,balanced_accuracy,0.75,0.223607,0.5,0.25,0.049751,200,0.6,20
jiwar_001,10,balanced_accuracy,0.65,0.2,0.5,0.15,0.154229,200,0.6,20
jiwar_001,11,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.21393,200,0.6,20
jiwar_001,12,balanced_accuracy,0.6,0.254951,0.5,0.1,0.243781,200,0.6,20
jiwar_001,13,balanced_accuracy,0.6,0.254951,0.5,0.1,0.243781,200,0.6,20
jiwar_001,14,balanced_accuracy,0.65,0.3,0.5,0.15,0.144279,200,0.6,20
jiwar_001,15,balanced_accuracy,0.6,0.254951,0.5,0.1,0.243781,200,0.6,20
jiwar_001,16,balanced_accuracy,0.7,0.244949,0.5,0.2,0.069652,200,0.6,20
jiwar_001,17,balanced_accuracy,0.7,0.244949,0.5,0.2,0.084577,200,0.6,20
jiwar_001,18,balanced_accuracy,0.666667,0.278887,0.5,0.166667,0.114428,200,0.6,20
jiwar_001,19,balanced_accuracy,0.65,0.3,0.5,0.15,0.114428,200,0.6,20
jiwar_001,20,balanced_accuracy,0.666667,0.278887,0.5,0.166667,0.119403,200,0.6,20
jiwar_001,21,balanced_accuracy,0.616667,0.323179,0.5,0.116667,0.218905,200,0.6,20
jiwar_001,22,balanced_accuracy,0.65,0.3,0.5,0.15,0.109453,200,0.6,20
jiwar_001,23,balanced_accuracy,0.55,0.244949,0.5,0.05,0.393035,200,0.6,20
shura_001,0,balanced_accuracy,0.533333,0.171594,0.5,0.033333,0.41791,200,0.6,20
shura_001,1,balanced_accuracy,0.716667,0.194365,0.5,0.216667,0.059701,200,0.6,20
shura_001,2,balanced_accuracy,0.55,0.291548,0.5,0.05,0.378109,200,0.6,20
shura_001,3,balanced_accuracy,0.5,0.273861,0.5,0.0,0.482587,200,0.6,20
shura_001,4,balanced_accuracy,0.75,0.273861,0.5,0.25,0.044776,200,0.6,20
shura_001,5,balanced_accuracy,0.7,0.291548,0.5,0.2,0.074627,200,0.6,20
shura_001,6,balanced_accuracy,0.7,0.367423,0.5,0.2,0.074627,200,0.6,20
shura_001,7,balanced_accuracy,0.8,0.291548,0.5,0.3,0.014925,200,0.6,20
shura_001,8,balanced_accuracy,0.8,0.291548,0.5,0.3,0.0199,200,0.6,20
shura_001,9,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.00995,200,0.6,20
shura_001,10,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
shura_001,11,balanced_accuracy,0.8,0.291548,0.5,0.3,0.024876,200,0.6,20
shura_001,12,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
shura_001,13,balanced_accuracy,0.9,0.2,0.5,0.4,0.00995,200,0.6,20
shura_001,14,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
shura_001,15,balanced_accuracy,0.9,0.2,0.5,0.4,0.014925,200,0.6,20
shura_001,16,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
shura_001,17,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
shura_001,18,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.034826,200,0.6,20
shura_001,19,balanced_accuracy,0.85,0.2,0.5,0.35,0.00995,200,0.6,20
shura_001,20,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
shura_001,21,balanced_accuracy,0.75,0.223607,0.5,0.25,0.044776,200,0.6,20
shura_001,22,balanced_accuracy,0.85,0.2,0.5,0.35,0.004975,200,0.6,20
shura_001,23,balanced_accuracy,0.8,0.291548,0.5,0.3,0.00995,200,0.6,20
majlis_001,0,balanced_accuracy,0.516667,0.185592,0.5,0.016667,0.437811,200,0.6,20
majlis_001,1,balanced_accuracy,0.533333,0.066667,0.5,0.033333,0.363184,200,0.6,20
majlis_001,2,balanced_accuracy,0.7,0.113039,0.5,0.2,0.094527,200,0.6,20
majlis_001,3,balanced_accuracy,0.633333,0.113039,0.5,0.133333,0.18408,200,0.6,20
majlis_001,4,balanced_accuracy,0.683333,0.185592,0.5,0.183333,0.074627,200,0.6,20
majlis_001,5,balanced_accuracy,0.733333,0.161589,0.5,0.233333,0.049751,200,0.6,20
majlis_001,6,balanced_accuracy,0.733333,0.161589,0.5,0.233333,0.034826,200,0.6,20
majlis_001,7,balanced_accuracy,0.733333,0.161589,0.5,0.233333,0.034826,200,0.6,20
majlis_001,8,balanced_accuracy,0.833333,0.139443,0.5,0.333333,0.00995,200,0.6,20
majlis_001,9,balanced_accuracy,0.833333,0.139443,0.5,0.333333,0.00995,200,0.6,20
majlis_001,10,balanced_accuracy,0.833333,0.139443,0.5,0.333333,0.00995,200,0.6,20
majlis_001,11,balanced_accuracy,0.716667,0.266667,0.5,0.216667,0.079602,200,0.6,20
majlis_001,12,balanced_accuracy,0.633333,0.281859,0.5,0.133333,0.19403,200,0.6,20
majlis_001,13,balanced_accuracy,0.666667,0.229734,0.5,0.166667,0.129353,200,0.6,20
majlis_001,14,balanced_accuracy,0.716667,0.266667,0.5,0.216667,0.069652,200,0.6,20
majlis_001,15,balanced_accuracy,0.766667,0.161589,0.5,0.266667,0.034826,200,0.6,20
majlis_001,16,balanced_accuracy,0.666667,0.139443,0.5,0.166667,0.139303,200,0.6,20
majlis_001,17,balanced_accuracy,0.566667,0.161589,0.5,0.066667,0.318408,200,0.6,20
majlis_001,18,balanced_accuracy,0.666667,0.139443,0.5,0.166667,0.094527,200,0.6,20
majlis_001,19,balanced_accuracy,0.766667,0.161589,0.5,0.266667,0.054726,200,0.6,20
majlis_001,20,balanced_accuracy,0.75,0.223607,0.5,0.25,0.054726,200,0.6,20
majlis_001,21,balanced_accuracy,0.85,0.2,0.5,0.35,0.00995,200,0.6,20
